序號,評論ID,作者,評分,評論內容,評論日期,實際日期,照片數,語言,醫院名稱,來源檔案,實際日期_parsed,評論長度,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment,rating_category,textblob_accurate,vader_accurate
23,review_53708,Michaela Vlčková,1,Watch Netflix!!! Take care of Maya!! DONT VISIT THIS HOSPITAL IF YOU WANT TO SEE YOUR CHILD AGAIN!!!!,2 months ago,2025-08-10,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-08-10,101,0.0,0.0,Neutral,0.7507,0.0,0.714,0.286,Positive,Negative (1-2★),False,False
27,review_64568,Marcus Woodard,1,Very unprofessional and they fire you over stupid stuff and won’t even give you a second chance ( if employed ) nor give you a verbal counsel or anything they will automatically terminate you for one mistake or in my case a “training issue”. I do not recommend this hospital at all. You’re better off going to a different hospital than here!!!,Edited 2 months ago,2025-08-10,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-08-10,343,-0.019999999999999973,0.48,Neutral,-0.8714,0.198,0.736,0.066,Negative,Negative (1-2★),False,True
28,review_67010,Luis,1,The staff is rude and don’t know how to speak to people. Not only that I sat in a waiting room from 11-6 in the morning and wasn’t seen.,3 months ago,2025-07-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-07-11,136,-0.15,0.8,Negative,-0.4588,0.097,0.903,0.0,Negative,Negative (1-2★),True,True
33,review_16402,Mthr OfBoys,5,Saved my brothers life. Top notch medical center for cutting edge research and medicine.  Cannot say enough positive things about all your organization does to improve the life of all by also training expert world renowned physicians.,3 months ago,2025-07-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-07-11,234,0.004545454545454551,0.42424242424242425,Neutral,0.4724,0.101,0.729,0.171,Positive,Positive (4-5★),False,True
34,review_50927,science Tech,1,The worst place ever. Very toxic work environment.,3 months ago,2025-07-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-07-11,50,-0.4,0.65,Negative,-0.6249,0.369,0.631,0.0,Negative,Negative (1-2★),True,True
35,review_57825,Damion Tucker,1,Worst hospital ever worst dialysis clinic in the country,3 months ago,2025-07-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-07-11,56,-1.0,1.0,Negative,-0.8481,0.539,0.461,0.0,Negative,Negative (1-2★),True,True
39,review_32745,Brian Blair Jr,5,"recently spent eight days at Johns Hopkins Hospital, and I can honestly say it was the most exceptional hospital experience I’ve ever had. From the moment I arrived until the day I was discharged, every single person I encountered—nurses, technicians, and all staff—treated me with the utmost respect, compassion, and professionalism.

What stood out the most was how attentive and caring the entire team was. They consistently checked in on me, explained everything thoroughly, and made sure I was comfortable and informed every step of the way. It didn’t matter what department they were from—every staff member carried the same positive energy and commitment to patient care.

I’ve had experiences at other hospitals, including Meritus and Mercy, and there is truly no comparison. Johns Hopkins goes above and beyond. They set the gold standard in healthcare, and I would highly recommend them to anyone in need of serious medical care.",3 months ago,2025-07-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-07-11,939,0.188114604693552,0.4752787271208323,Positive,0.9888,0.02,0.744,0.236,Positive,Positive (4-5★),True,True
40,review_40763,Rachel Leonard,2,"Great Motility specialist. Great nurses. Very unsafe and crowded ERs. Doctors do not listen to patients. Be wary of dog whistle words and possible bias. Bring an advocate.

Make sure the staff reads all allergies. I was given a chemical burn/rash reaction in June’25 bc ED staff failed to do so.",4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,295,0.18571428571428572,0.6698412698412699,Positive,0.7783,0.077,0.752,0.172,Positive,Negative (1-2★),False,False
41,review_17161,Joe T,1,This is a place where students injure patients and hospitals charge outrageous prices for treatments that make you sicker. Stay away from this place,4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,148,-1.0,1.0,Negative,-0.4588,0.115,0.885,0.0,Negative,Negative (1-2★),True,True
42,review_72147,Yaya,1,"ERRORS CAUSING HEALTH-RELATED HARM. Misdiagnosis, incorrect treatment, surgical errors. Negligent doctors!",4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,106,0.0,0.0,Neutral,-0.8767,0.557,0.443,0.0,Negative,Negative (1-2★),False,True
43,review_88016,Y M,1,Incompetent and Negligent care at MICU and NCCU. NEGLIGENCE DURING TREATMENT. LACK OF QUALITY CARE AND ATTENTION. GIVING UNNECESSARY MEDICATIONS. POORLY EXECUTED SURGICAL PROCEDURES. DENYING PATIENTS NECESSARY TREATMENT,Edited 4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,219,-0.2875,0.7166666666666667,Negative,0.25,0.223,0.53,0.247,Positive,Negative (1-2★),True,False
47,review_38798,Tongo Best,1,I am complaining about the nurse supervisor on Myah 9 floor. I called concerned about a friend of mines that called me crying and complaining that he had not received dinner or breakfast. He also complained that he could not get anyone to give him a blanket. He told me that the nurse constantly threating him that she was going to call security. I was on the phone with him and I heard her myself. She was very rude and condescending. The hospital is known for being very prestigious around the world and they definitely don't need staff like that to make people think otherwise. I will definitely be writing a complaint to the president of the hospital.,4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,655,-0.12375,0.4266666666666667,Negative,-0.7907,0.146,0.774,0.08,Negative,Negative (1-2★),True,True
48,review_9105,Katy Hernandez,1,"Recently I was in the emergency room with my son dealing with Crohn’s disease pain for 8 hours, they told me they were waiting to put him in a room and around 10 pm they called him in just to leave him in the hallway. In that same hallway I saw that they had room’s available still leaving my son in pain in a hallway like nothing. I then still waited 3 more hours in that hallway with my son with no one paying attention or even glancing his way to help in till I started complaining to the staff that they then wanted to show interest in him for just a bit then 6 more hours in the same hallway they send him home without sending his pain medication to our pharmacy just letting him leave in pain. Overall the worst experience I had!",4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,735,0.04999999999999999,0.3625,Neutral,-0.8857,0.14,0.794,0.066,Negative,Negative (1-2★),False,True
50,review_12632,T C,1,"Years ago I saw a doctor at John Hopkins.  He was rude and arrogant, but he also didn't get the diagnosis correct. This happens and he was a sample of 1.  Doctor's are human - medicine isn't perfect, and so I didn't hold it against the hospital.  About 4-5 years ago, I went to a different department.  Over the doctor's objection, the scheduler's sent me to Bayview, which cost significantly more and delayed the procedure.  They did not inform me of the extra time or cost.  My doctor even asked why I went to Bayview when she saw me.

When I challenged the extra cost and explained that my doctor wanted me to go to Howard county, which would have been cheaper and faster, they refused to take the ""facility fee"" off my bill.  I had an attorney argue the case for me and finally the bill appeared to be settled to my satisfaction.  Four years later (today), they sent me to collections.  Even now, if I go to JHU's billing, I don't see the offending fee and my bill looks zero'd out as it has for the last four years.  I don't know if they are incompetent or malicious.

For me the critical thing is that they delayed my care over my doctor's order and then attempted to charge me more for their role in the delay in providing me treatment.  The fact that they appear to have sent me to collections 4 years later for a zero balance bill is just the icing on the cake.

Edit: I have called this number three times.  I end up in a voicemail box that is not set up.  I've called what I thought was the main patient relations number and they informed me that there is no way to talk to patient relations for the entire John Hopkins network unless you go through the individual Bayview patient relations first.  So, because Bayview patient relations doesn't have a voicemail box, you can't get to anyone higher up that has any authority to fix these issues.  Very convenient.",Edited 4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,1873,0.11083333333333334,0.41125,Positive,-0.9468,0.089,0.868,0.043,Negative,Negative (1-2★),False,True
51,review_52152,Judith Zeiders,5,I am very impressed with the people I encountered today at the hospital Everyone is polite and willing to help. Thank you!,4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,122,0.65625,0.875,Positive,0.8353,0.0,0.681,0.319,Positive,Positive (4-5★),True,True
53,review_55327,Stephen Barnes,5,Awesome so cool 😎 thank you for sharing and caring,4 months ago,2025-06-11,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-06-11,50,0.675,0.825,Positive,0.955,0.0,0.275,0.725,Positive,Positive (4-5★),True,True
58,review_21330,Maya Gibson,1,"I’m pregnant and told them there’s a possibility that I’m having a miscarriage. They had me in the emergency room for hours. I went to the 8th floor where the pregnant woman go and they denied me. I went to my gynecologist on the 6th floor and they denied me again. They said no walk-ins. I asked the lady at the desk if I can get prenatal care, and she gave me a card in my hand instead of making me an appointment. I’m sitting here crying.",5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,441,0.15555555555555553,0.5333333333333333,Positive,-0.743,0.137,0.799,0.064,Negative,Negative (1-2★),False,True
59,review_55018,Sales Chemicals,5,"They have the best Maternity and postpartum services. The staff is very nice with a good smile on their face. They will answer all your questions and the Nurses are too kind. We have delivered baby here and we are v satisfied with the hospitality, housekeeping, staff behavior and administration. Specially nurse Tia ( I hope I wrote her name right). 99% postpartum staff is excellent",5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,384,0.6136507936507936,0.6674603174603174,Positive,0.9814,0.0,0.664,0.336,Positive,Positive (4-5★),True,True
60,review_92204,Keirra,5,"Today was my first time in this hospital. My friends just had a baby girl and I was in a panic when I parked because I knew it would be a maze.  I walk it and I’m immediately greeted and given directions to the gift shop and Bloomberg. On the way, with my map in hand, I get lost. I was lost for 30 seconds before Paula asked me if I needed assistance. Paula walked me To the gift shop. The first one was closed so we walked To the other gift shop. I have anxiety issues and really didn’t need to be lost today.  To say I was grateful is an understatement. She explained that she was a doctor In the kids ER and she was on her break and needed to walk.  For her to walk me to where I needed to go…I’m forever grateful. I give 100% At work and it’s nice to see that John Hopkins’ employees do same. The security guard in Zayed prior to getting to the rooms.. she was kind and wonderful as well. 10/10 experience.",5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,911,0.26749999999999996,0.4366666666666667,Positive,0.9766,0.056,0.77,0.175,Positive,Positive (4-5★),True,True
61,review_79978,Noe Rojas-Victoria,5,Liver Transplant Medication.,5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,28,0.0,0.0,Neutral,0.0,0.0,1.0,0.0,Neutral,Positive (4-5★),False,False
62,review_55989,Yani H,1,John hopkins is a horrible hospital.  I will never go back here to Do Anything... Theyre all about money and not actually helping paitents.. imgaine losing your job right after a procedure  and trying to get financial assistance only to be told you can't get help because your taking care of yourself?! All the while they send the bill to collections while your in the process of get the financial assistance.. Nothing in life is guaranteed but John hopkins Financial assistance is a SCAM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,525,-0.08928571428571429,0.3294642857142857,Neutral,-0.907,0.153,0.825,0.022,Negative,Negative (1-2★),False,True
63,review_25562,Aaron Goodson,5,"Sadly I've had to be here to visit many times, but not sadly because of the hospital though that's for sure. Their staff is so tactful and kind its unreal. They are good at handling sensitive experiences and seem to love involving family with their treatment. The nurses and doctors offer their compassion when they can and will go out of their way for you whenever possible. Understand that sometimes they have a lot to deal with at the time and physically can't do everything for you at the drop of a hat but they sure try and whenever they have an opportunity they are sure to make sure you are being cared for. Thank-you for everything you do.",5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,647,0.31923076923076926,0.7844932844932846,Positive,0.9901,0.03,0.7,0.27,Positive,Positive (4-5★),True,True
64,review_45833,Adel Joudi,5,"I would like to sincerely thank Dr. Emily Li, our Anesthesiologist, and the entire Oculoplastic Surgery and Nursing Team at Johns Hopkins Hospital for the exceptional care they provided during my father's eyelid surgery.

From the surgery preparation to post-operative recovery, every member of the team demonstrated outstanding professionalism, compassion, and attention to detail.

Special thanks to our anesthesiologist, whose care and reassurance brought great peace of mind during a very sensitive time for our family.

We are deeply grateful for the expertise and kindness shown throughout this experience.

Thank you for your incredible work and dedication!",5 months ago,2025-05-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-05-12,664,0.41538095238095235,0.6821428571428572,Positive,0.9926,0.0,0.638,0.362,Positive,Positive (4-5★),True,True
66,review_63353,Yani BonJOVI,1,"I loved this hospital back in 2006 , my son was a patient here and passed , they treated him very good. Now here it is 2025 i come here for prenatal care,/ delivered my son here by c-section. OB team is great loved them all they did great by me . But my over all experience with some of the staff mainly dietary , which is a reason i will never come back nor recommend this hospital to anyone. The lady who answers the phone is very nasty and rude to patients who call to order their food like us patients need any type of negative attitude when we dealing and focusing on the health issues we got going on already. She’s mean for no reason and to have someone like that representing your dietary team speaks a lot about the hospital it self . I was known as Mrs pittman when i use to come here with my son Rashad Pittman before he passed. I will never come back here after my son is well enough to go home. Let’s talk about postpartum unit 8th floor. I was treated horribly, i had a c- section done and gotten staples, you talking about pain, when i bath no one helped me dry my feet or put socks on, it hurt me so bad to try and bend over i had to moan and groan and cry while doing it, i had to change my own bed , they never changed my linen i had to call for sheets to change my own. my trash and linen bin was full. I complained to the nurses to everyone to the point they actually got a attitude with me because i was not letting their neglect slide. I was not getting my pressure meds when i was supposed to be getting them , they would skip a day at times. I praised this hospital to everyone, i was so happy to be at the hospital who took great care of my 1 year old son , i am so embarrassed to praise them and having to walk out in pain because i couldn’t take no more, i didn’t sign myself out i just called my fiancé and said i had enough, i was in tears in pain and they didn’t care all they wanted from me was the key that gets me on to other units smh never again. Nicu is alright with me ,",Edited 6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,2007,0.10250000000000005,0.5807758620689655,Positive,-0.9441,0.143,0.738,0.119,Negative,Negative (1-2★),False,True
67,review_19271,Debbie Browning,5,"We are from Knoxville, TN and my wife had a stroke 2 years ago.  We came to Johns Hopkins last year for my wife to receive Non-Invasive Brain Stimulation (NIBS) from the Physical Medicine & Rehabilitation (PM&R) center at Johns Hopkins.  The therapy worked well so we decided to come back this year.  Tomorrow is our last day of therapy.  We have been living in a hotel for the last three weeks.  Although it is very difficult to be away from home, our two visits to Johns Hopkins have been amazing!  First, I would like to recognize the ladies at the front desk when you check in.  They are always helpful and cheerful.  Millie, who does all the NIBS scheduling, is always there to help.  Next is Dr. Chao and Dr. Krasna.  They really care about my wife's condition and are always trying to help.  Last is the therapy staff.  They are amazing!! Daniel, Aara, Meredith, Nicole, Kristian, Erin, Leyna, Jacqueline, Megan, Elena and all the others who work in PM&R.  They are top notch!  Although it has been a difficult 2 years, Johns Hopkins will have a special place in our hearts.

Roland (Debbie's Husband)",Edited 6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,1108,0.13350840336134454,0.40672268907563025,Positive,0.9849,0.024,0.81,0.166,Positive,Positive (4-5★),True,True
68,review_11358,Erica Matute-Arcos,1,"don’t go here unless u want to wait hours for results on an xray. my friend has been admitted into the hospital after a fall which resulted in two broken fingers and every time there were any sort of update on the next steps, we would have to wait hours for a doctor to speak to us. we were admitted at 2ish in the morning, and it’s currently 8:44 am as i am writing this review.",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,379,-0.13333333333333333,0.26666666666666666,Negative,0.296,0.038,0.872,0.09,Positive,Negative (1-2★),True,False
69,review_44851,cinema v9,1,"Where to begin. From nurses and doctors having bad attitudes, being unfriendly, and telling you one thing then doing something completely different. Laziness.Nurses found it impossible to get medications on time or within a reasonable time. Not listening to my concerns. I was moved to 3 different rooms within the same unit. 2 rooms I did not have a bedside phone making food orders difficult as well as outside calls. One room was cockroach infested putting myself and my personal properties at risk. As well as the nurses refusing to enter my room due to fear of insects. Causing me to miss doses of medication all together or receiving medication as much as 1.5 hours late. I strongly recommend calling for medication early in attempt to receive it anywhere close to on time. Ask the cafe to read back your meal orders to have a better chance of accurately receiving what you ordered. I also strongly suggest taking notes including staff members names, detailed descriptions of interactions, and times and dates. I would not waste your time talking to senior patient experience representatives as they are rude and seem unbothered about patient concerns. While I was hospitalized I witnessed 3 separate patients leave against doctor's orders due to the disrespect and treatment from hospital staff. If possible do not come to john hopkins. Try Union Memorial or GBMC who both in my experience deserve a 5/5 for exceptionally friendly to patients. To be willing to listen and go above and beyond to make you comfortable and do there job properly. Also the hygiene and cleanliness of john hopkins is poor at best. Good luck to anyone who has no choice but to come to john hopkins bay view hospital.",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,1700,0.07661290322580645,0.4997311827956989,Neutral,0.4239,0.069,0.854,0.078,Positive,Negative (1-2★),False,False
70,review_59658,Christine Addo,1,"A simple procedure felt like torture because they found it fit to have students operate on me without my consent. Don’t bother filing a complaint , they’ll make a ton of excuses and still send you a thousand dollar bill",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,219,0.03333333333333335,0.319047619047619,Neutral,-0.6329,0.207,0.692,0.102,Negative,Negative (1-2★),False,True
71,review_54470,Bernard Watts,2,"This is a hostage service. My daughter has been stuck in this ER for 10 hours when it should have taken 1, disengaged drain from post surgery.  2 blood samples, two ""triages"".  I've observed other patients with much worse,  sitting in pain for 12 hours +.   It's been like this over a decade.  Wait indefinitely for merely adequate care or seek service elsewhere and risk exacerbated results.  And if that's not insulting enough,  the bill.  There are smaller less notable hospitals running circles HCJHH that clearly signify this place is broken, except to its stockholders.",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,575,0.03416666666666666,0.46583333333333343,Neutral,-0.171,0.122,0.762,0.116,Negative,Negative (1-2★),False,True
72,review_59990,Sean Stout,1,"If I could give a negative score, I would! I went here for 2 different surgeries and the first one they did something without my permission and the second one they caused a infection that could've been fatal! Think twice before coming here!",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,240,-0.03125,0.3333333333333333,Neutral,-0.8433,0.165,0.835,0.0,Negative,Negative (1-2★),False,True
73,review_1432,Courtney Cobbs,1,"I had a procedure done that had to have samples sent to John Hopkins. I was told I would have results in 7-10 business days. I had an appointment with my doctor scheduled to go over these results. Well, my results did not come in 7-10 business days, so I had to cancel and reschedule my appointment with my provider so that I’d be able to discuss the results. I finally got a hold of the right department at John Hopkins after being given three different numbers. One person said it would take 14 days. So, I waited the 14 days and still no results. I called again and now they are saying it takes 4-5 weeks! Three different time frames given by the SAME department. I took days off work for my appointments with my provider that all were wasted due to not having results when I was told I would have them. Every staff member I spoke to at John Hopkins was short, rude, and hostile with me. This has been a huge disruption to my life and I am very disappointed by the lack of professionalism, the conflicting information, and inconsistency.",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,1040,-0.03452380952380953,0.5529761904761905,Neutral,-0.9571,0.114,0.865,0.021,Negative,Negative (1-2★),False,True
75,review_90705,Awdria,5,"I had a wonderful experience, I was hospitalized for days and everyone was so nice and explaining everything so well. The nurses and doctors took very good care of me and made sure I was comfortable all the way through",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,218,0.6819999999999999,0.8937777777777779,Positive,0.9695,0.0,0.596,0.404,Positive,Positive (4-5★),True,True
76,review_79493,Dr. Gottlieb,5,Good experience so far after open heart surgery. Impressed with the Intensive Care Unit. Wonderful and caring nurses.,6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,117,0.5599999999999999,0.82,Positive,0.9652,0.0,0.372,0.628,Positive,Positive (4-5★),True,True
77,review_55369,Lashawna Watts,1,"Very long wait. Arrived at the hospital at 1 PM, was still waiting to be seen by a DR. At 3AM",6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,93,-0.065,0.52,Neutral,0.0,0.0,1.0,0.0,Neutral,Negative (1-2★),False,False
78,review_73009,Lukas Braga,5,I'm the 1000th comment lol,6 months ago,2025-04-12,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-04-12,26,0.8,0.7,Positive,0.4215,0.0,0.588,0.412,Positive,Positive (4-5★),True,True
82,review_60871,JOHN ROBINSON,1,PLEASE SOMEONE SEND THE CLEAN UP TEAM IN THE CAFETERIA THE TABLES ARE A MESS!!! HOW CAN WE EAT AND THE TABLES HAVE NOT BEEN CLEANED AND ITS NO WIPES IN THE PURELL CONTAINERS !!!  2/2/25,7 months ago,2025-03-13,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-03-13,185,-0.15045267740885415,0.4375,Negative,0.3544,0.135,0.699,0.167,Positive,Negative (1-2★),True,False
84,review_68059,Catherine Grasso,5,Love the staff & security parking attendants are all awesome folks!,7 months ago,2025-03-13,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-03-13,67,0.75,0.8,Positive,0.8999,0.0,0.421,0.579,Positive,Positive (4-5★),True,True
